method,scenario,episode,traffic_seed,espera_media_s,espera_p95_s,espera_max_s,fila_maxima,throughput,tempo_viagem_medio_s,espera_media_avenida_s,espera_media_local_s,n_veiculos,dqn_seed,metodo
dqn,pico_assimetrico,2,10002,179.14206845785793,463.39999999999964,684.0,221.0,2461,287.6753352295815,150.19921534437663,336.10401891252957,2717,2024,especialista
dqn,pico_assimetrico,3,10003,159.80537634408603,422.0,592.0,210.0,2558,266.25215011727914,126.517841971113,339.5275229357798,2790,2024,especialista
dqn,pico_assimetrico,4,10004,153.46613545816734,439.0,647.0,205.0,2530,258.90237154150196,119.60119811724434,340.12264150943395,2761,2024,especialista
dqn,pico_assimetrico,5,10005,178.54436927974533,485.0,684.0,225.0,2292,295.62303664921467,137.29728464419475,412.2413793103448,2513,2024,especialista
dqn,pico_assimetrico,6,10006,169.7492389649924,434.0,578.0,222.0,2415,285.93498964803314,133.92145421903052,369.31,2628,2024,especialista
dqn,pico_assimetrico,7,10007,161.31833395314243,470.5999999999999,752.0,216.0,2457,276.9010989010989,125.1948109058927,359.2578313253012,2689,2024,especialista
dqn,pico_assimetrico,8,10008,175.73745954692558,441.0,583.0,208.0,2275,288.85802197802195,138.72894482090996,364.0615763546798,2472,2024,especialista
dqn,pico_assimetrico,9,10009,178.00039215686274,414.0,656.0,226.0,2314,295.5942091616249,145.98396226415093,335.8488372093023,2550,2024,especialista
dqn,pico_assimetrico,10,10010,166.05108654212734,429.0,579.0,212.0,2411,281.4392368311904,132.9632152588556,339.1140142517815,2623,2024,especialista
dqn,pico_assimetrico,11,10011,173.85562965868968,428.0,683.0,206.0,2351,288.951935346661,138.3219466541881,358.1650485436893,2549,2024,especialista
dqn,pico_assimetrico,12,10012,161.9705353934603,410.9000000000001,572.0,220.0,2550,272.47607843137257,132.94251394251395,311.67035398230087,2783,2024,especialista
dqn,pico_assimetrico,13,10013,193.6559424678274,493.9499999999998,934.0,227.0,2400,311.25666666666666,163.2954954954955,353.37203791469193,2642,2024,especialista
dqn,pico_assimetrico,14,10014,162.7975693125712,443.4000000000001,699.0,220.0,2425,273.9756701030928,126.4404168554599,351.15492957746477,2633,2024,especialista
dqn,pico_assimetrico,15,10015,176.0942225668864,450.0999999999999,669.0,213.0,2348,292.80451448040884,140.07774178621008,362.29425837320576,2579,2024,especialista
dqn,pico_assimetrico,16,10016,169.610088365243,476.75,838.0,214.0,2447,271.2525541479362,138.94181977252845,332.6511627906977,2716,2024,especialista
dqn,pico_assimetrico,17,10017,156.287939152481,417.0,566.0,222.0,2544,265.3824685534591,122.38673557278209,335.60136674259684,2761,2024,especialista
dqn,pico_assimetrico,18,10018,177.81449389523434,500.1999999999998,714.0,230.0,2302,292.92962641181583,139.23968474733425,395.630890052356,2539,2024,especialista
dqn,pico_assimetrico,19,10019,151.8425283156741,359.1999999999998,529.0,211.0,2528,258.8504746835443,124.63440387153541,285.1271551724138,2737,2024,especialista
dqn,fora_pico,0,10000,107.38284132841328,533.0,828.0,67.0,1035,166.97101449275362,17.939698492462313,354.59375,1084,7,especialista
dqn,fora_pico,1,10001,164.9670542635659,798.1499999999995,1266.0,81.0,952,210.36974789915968,26.22967741935484,583.3385214007782,1032,7,especialista
dqn,fora_pico,2,10002,159.34977578475338,708.0,925.0,92.0,1041,216.53218059558117,26.148102815177477,524.5369127516778,1115,7,especialista
dqn,fora_pico,3,10003,141.57769304099142,639.1999999999998,904.0,76.0,971,203.23995880535531,26.717277486910994,449.4842105263158,1049,7,especialista
dqn,fora_pico,4,10004,136.44401913875598,705.1999999999998,938.0,75.0,971,184.8043254376931,22.973042362002566,468.7518796992481,1045,7,especialista
dqn,fora_pico,5,10005,143.95053956834533,791.4000000000005,1138.0,85.0,1029,205.58892128279882,18.66144578313253,512.7092198581561,1112,7,especialista
dqn,fora_pico,6,10006,149.7642980935875,719.4999999999991,1346.0,95.0,1089,218.44719926538107,30.918108419838525,508.78745644599303,1154,7,especialista
dqn,fora_pico,7,10007,213.9918533604888,1061.6999999999996,1375.0,92.0,895,224.5340782122905,26.13588390501319,849.6830357142857,982,7,especialista
dqn,fora_pico,8,10008,179.23661971830987,960.8,1426.0,100.0,971,235.39752832131822,41.69336670838548,592.3834586466165,1065,7,especialista
dqn,fora_pico,9,10009,144.38741134751774,721.6499999999999,1133.0,86.0,1068,214.3426966292135,25.107270560190702,490.6712802768166,1128,7,especialista
dqn,fora_pico,10,10010,148.85674931129478,742.7999999999997,943.0,84.0,988,187.7419028340081,19.883895131086142,507.5625,1089,7,especialista
dqn,fora_pico,11,10011,165.18828828828828,794.55,1117.0,90.0,1044,243.2375478927203,27.165413533834588,518.2083333333334,1110,7,especialista
dqn,fora_pico,12,10012,160.7568075117371,821.3999999999994,1337.0,90.0,978,215.71063394683026,23.78221649484536,528.5501730103806,1065,7,especialista
dqn,fora_pico,13,10013,169.7905027932961,793.0,1033.0,87.0,998,233.74749498997997,25.92257217847769,521.1602564102565,1074,7,especialista
dqn,fora_pico,14,10014,171.7172478793591,852.0,1238.0,85.0,963,216.08203530633438,20.449311639549435,633.0267175572519,1061,7,especialista
dqn,fora_pico,15,10015,123.68546845124283,529.75,783.0,74.0,988,192.73582995951418,24.1688654353562,385.6076388888889,1046,7,especialista
dqn,fora_pico,16,10016,182.8462255358807,906.0,1448.0,87.0,980,248.7051020408163,23.087855297157624,596.4013377926422,1073,7,especialista
dqn,fora_pico,17,10017,175.58861940298507,831.4499999999999,1275.0,89.0,986,190.16937119675455,21.823086574654955,621.2290909090909,1072,7,especialista
dqn,fora_pico,18,10018,154.43160813308688,791.3000000000006,1185.0,81.0,1011,209.68447082096932,21.002469135802468,551.7757352941177,1082,7,especialista
dqn,fora_pico,19,10019,145.38491295938104,728.6999999999998,1041.0,74.0,965,199.45906735751296,23.650918635170605,486.41911764705884,1034,7,especialista
dqn,fora_pico,0,10000,112.32564575645756,525.3999999999996,785.0,80.0,1023,170.9745845552297,43.78643216080402,301.7604166666667,1084,42,especialista
dqn,fora_pico,1,10001,153.69121813031163,519.0999999999999,1073.0,138.0,923,214.06608884073674,65.81032258064516,393.50704225352115,1059,42,especialista
dqn,fora_pico,2,10002,133.03801945181254,571.0,887.0,86.0,1055,189.6872037914692,42.48470012239902,368.6496815286624,1131,42,especialista
dqn,fora_pico,3,10003,128.68285714285713,553.55,972.0,89.0,990,194.28787878787878,44.67931937172775,353.0839160839161,1050,42,especialista
dqn,fora_pico,4,10004,134.06952380952382,545.6499999999999,902.0,106.0,935,174.95401069518718,50.12965340179718,375.3579335793358,1050,42,especialista
dqn,fora_pico,5,10005,116.26708633093526,460.8000000000002,620.0,88.0,1069,179.79139382600562,46.70361445783133,321.01063829787233,1112,42,especialista
dqn,fora_pico,6,10006,126.76689774696708,578.0499999999997,939.0,95.0,1090,189.31743119266056,46.7762399077278,368.411149825784,1154,42,especialista
dqn,fora_pico,7,10007,160.8061797752809,649.3,1299.0,89.0,984,241.7012195121951,47.36543535620053,438.18709677419355,1068,42,especialista
dqn,fora_pico,8,10008,133.75138632162663,588.5500000000004,988.0,97.0,1024,194.09375,53.8360450563204,359.3780918727915,1082,42,especialista
dqn,fora_pico,9,10009,109.34042553191489,406.0,666.0,60.0,1072,164.79664179104478,42.578069129916564,303.15916955017303,1128,42,especialista
dqn,fora_pico,10,10010,132.9573115349682,577.0,816.0,89.0,1007,182.22045680238332,34.188514357053684,396.67,1101,42,especialista
dqn,fora_pico,11,10011,270.6927927927928,825.1999999999998,1192.0,194.0,939,355.1895633652822,200.87593984962405,449.2628205128205,1110,42,especialista
dqn,fora_pico,12,10012,157.00280636108513,621.5999999999999,1107.0,92.0,976,201.88934426229508,49.652061855670105,441.3174061433447,1069,42,especialista
dqn,fora_pico,13,10013,107.32437442075997,382.1999999999998,494.0,61.0,1039,172.18671799807507,34.55774278215223,282.2397476340694,1079,42,especialista
dqn,fora_pico,14,10014,173.2507042253521,851.8,1392.0,95.0,958,214.07828810020877,60.913642052565706,510.6842105263158,1065,42,especialista
dqn,fora_pico,15,10015,110.66921606118547,403.75,627.0,62.0,989,170.01314459049544,43.20448548812665,288.2326388888889,1046,42,especialista
dqn,fora_pico,16,10016,121.62959558823529,544.5999999999995,781.0,75.0,1016,187.4990157480315,49.47803617571059,299.4808917197452,1088,42,especialista
dqn,fora_pico,17,10017,138.31967943009795,515.0,873.0,85.0,1041,206.59654178674353,45.234629861982434,365.89263803680984,1123,42,especialista
dqn,fora_pico,18,10018,175.16956920256646,707.0,1358.0,113.0,994,243.3993963782696,75.0679012345679,463.7188612099644,1091,42,especialista
dqn,fora_pico,19,10019,134.24568138195778,524.9499999999999,912.0,92.0,970,188.88865979381444,48.544619422572175,367.475,1042,42,especialista
dqn,fora_pico,0,10000,115.4769372693727,447.8499999999999,659.0,80.0,997,171.41524573721165,55.528894472361806,281.1666666666667,1084,123,especialista
dqn,fora_pico,1,10001,216.0114503816794,701.9499999999995,1177.0,173.0,907,282.98787210584345,128.1225806451613,465.5128205128205,1048,123,especialista
dqn,fora_pico,2,10002,182.1887800534283,576.8999999999999,898.0,128.0,992,235.02217741935485,86.8249694002448,436.80392156862746,1123,123,especialista
dqn,fora_pico,3,10003,137.8552380952381,533.55,782.0,91.0,977,198.36438075742066,61.62041884816754,341.5034965034965,1050,123,especialista
dqn,fora_pico,4,10004,161.06118546845124,629.0,971.0,139.0,902,196.6019955654102,82.41720154043645,390.51310861423224,1046,123,especialista
dqn,fora_pico,5,10005,135.95053956834533,613.7000000000003,910.0,129.0,1004,198.22509960159363,49.78915662650602,389.54609929078015,1112,123,especialista
dqn,fora_pico,6,10006,141.9991334488735,543.3499999999999,918.0,87.0,1082,205.88817005545286,57.17877739331026,398.23344947735194,1154,123,especialista
dqn,fora_pico,7,10007,177.58426966292134,590.0499999999996,843.0,107.0,993,260.24672708962737,73.26912928759894,432.6516129032258,1068,123,especialista
dqn,fora_pico,8,10008,145.22735674676525,590.95,833.0,79.0,1019,210.99214916584887,42.988735919899874,433.8798586572438,1082,123,especialista
dqn,fora_pico,9,10009,139.2677304964539,501.9499999999996,693.0,91.0,1077,204.92757660167132,63.29558998808105,359.8235294117647,1128,123,especialista
dqn,fora_pico,10,10010,137.813698630137,641.3,801.0,106.0,979,185.32277834525024,42.23720349563046,398.2108843537415,1095,123,especialista
dqn,fora_pico,11,10011,155.94324324324324,561.3999999999996,829.0,96.0,1020,223.6362745098039,63.81328320802005,391.5833333333333,1110,123,especialista
dqn,fora_pico,12,10012,153.99171270718233,543.75,855.0,90.0,1012,223.95256916996047,62.54381443298969,382.90645161290325,1086,123,especialista
dqn,fora_pico,13,10013,121.94253938832252,436.1999999999998,676.0,79.0,1038,188.48554913294797,62.688976377952756,264.3753943217666,1079,123,especialista
dqn,fora_pico,14,10014,153.32509157509156,571.8000000000002,1026.0,94.0,990,219.77878787878788,49.95369211514393,435.2150170648464,1092,123,especialista
dqn,fora_pico,15,10015,160.65200764818357,574.75,759.0,89.0,956,229.9058577405858,63.96306068601583,415.13194444444446,1046,123,especialista
dqn,fora_pico,16,10016,143.4034926470588,577.6499999999999,881.0,91.0,1003,214.26719840478563,44.28036175710594,387.7388535031847,1088,123,especialista
dqn,fora_pico,17,10017,141.61709706144256,575.7999999999984,901.0,106.0,1036,208.8600386100386,53.60100376411543,356.79754601226995,1123,123,especialista
dqn,fora_pico,18,10018,156.11192660550458,547.55,1046.0,180.0,933,193.2443729903537,85.45061728395062,360.525,1090,123,especialista
dqn,fora_pico,19,10019,163.65388302972195,577.8,822.0,103.0,938,216.80597014925374,73.21128608923884,408.9110320284698,1043,123,especialista
dqn,fora_pico,0,10000,193.80635551142007,1156.099999999999,2078.0,92.0,920,153.6271739130435,37.0213567839196,785.2796208530806,1007,777,especialista
dqn,fora_pico,1,10001,206.99159663865547,1779.8999999999999,2504.0,94.0,865,118.6635838150289,24.846451612903227,1004.5197740112994,952,777,especialista
dqn,fora_pico,2,10002,235.5910973084886,2133.75,2800.0,97.0,880,116.7125,30.496940024479805,1360.1677852348994,966,777,especialista
dqn,fora_pico,3,10003,231.25501113585747,2295.75,3042.0,85.0,811,83.07151664611591,13.75916230366492,1471.3059701492537,898,777,especialista
dqn,fora_pico,4,10004,186.9625615763547,980.7999999999997,1617.0,107.0,932,188.06223175965664,93.7599486521181,494.6101694915254,1015,777,especialista
dqn,fora_pico,5,10005,147.89181561618062,851.6999999999997,1629.0,86.0,975,136.17128205128205,20.96385542168675,600.0386266094421,1063,777,especialista
dqn,fora_pico,6,10006,239.16089613034623,2585.9499999999985,3249.0,99.0,894,82.21812080536913,26.046136101499425,1845.8608695652174,982,777,especialista
dqn,fora_pico,7,10007,267.3251670378619,2097.15,2922.0,104.0,810,142.83703703703705,44.98153034300792,1471.1571428571428,898,777,especialista
dqn,fora_pico,8,10008,202.79369918699186,1669.0499999999988,2381.0,94.0,897,129.59977703455965,29.499374217772214,951.2378378378378,984,777,especialista
dqn,fora_pico,9,10009,260.46861471861473,2943.9499999999994,3465.0,85.0,838,58.256563245823386,10.932061978545889,2723.541176470588,924,777,especialista
dqn,fora_pico,10,10010,274.2474690663667,2999.599999999998,3545.0,87.0,794,57.39294710327456,9.930087390761548,2680.1363636363635,889,777,especialista
dqn,fora_pico,11,10011,156.94414414414413,812.3499999999992,1063.0,95.0,1050,235.75809523809525,36.76065162907268,464.33653846153845,1110,777,especialista
dqn,fora_pico,12,10012,198.1167355371901,1594.7999999999997,2166.0,94.0,885,129.53898305084746,24.61855670103093,899.3385416666666,968,777,especialista
dqn,fora_pico,13,10013,220.17259978425028,2070.7,2702.0,85.0,838,98.5346062052506,15.354330708661417,1166.060606060606,927,777,especialista
dqn,fora_pico,14,10014,295.8809261300992,2674.2999999999993,3377.0,189.0,818,129.70293398533008,73.59574468085107,1940.3796296296296,907,777,especialista
dqn,fora_pico,15,10015,248.34522439585731,2396.3999999999996,3017.0,85.0,779,78.83440308087292,14.236147757255937,1847.036036036036,869,777,especialista
dqn,fora_pico,16,10016,268.6696935300794,2626.0,3419.0,85.0,793,82.95838587641866,28.873385012919897,2003.271028037383,881,777,especialista
dqn,fora_pico,17,10017,258.53922651933703,2792.9999999999995,3402.0,89.0,819,68.60805860805861,15.383939774153074,2052.935185185185,905,777,especialista
dqn,fora_pico,18,10018,255.93798449612405,2765.8,3456.0,91.0,822,67.2919708029197,19.881481481481483,2311.9139784946237,903,777,especialista
dqn,fora_pico,19,10019,233.2340425531915,2240.7999999999993,2954.0,85.0,807,90.35068153655514,15.686351706036746,1498.6641221374045,893,777,especialista
dqn,fora_pico,0,10000,69.79059040590406,409.6999999999998,687.0,48.0,1030,123.15728155339806,16.51005025125628,217.05208333333334,1084,2024,especialista
dqn,fora_pico,1,10001,157.8953488372093,971.3499999999998,1402.0,91.0,964,219.32261410788382,37.51225806451613,520.9182879377432,1032,2024,especialista
